source_file,clause_id,clause_text,week2_category,regex_label,ground_truth
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,104,"The Transferor will transmit each of the Preliminary Prospectus, the RatingsFree Writing Prospectus and the Prospectus, to the Commission pursuant to Rule 424(h), Rule 424(b) or Rule 433, asapplicable, by a means reasonably calculated to result in a ﬁling that complies with all applicable provisions of Rule 424(h),Rule 424(b) or Rule 433.",Notices,Assignment,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,105,"The Transferor will advise the Underwriters promptly of any such ﬁling pursuant to Rule 424(h), Rule424(b) or Rule 433, as applicable.",Assignment,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,106,"(b) The Transferor will advise the Underwriters promptly of (i) any proposal to amend or supplement theRegistration Statement, the Preliminary Prospectus, the Ratings Free Writing Prospectus or the Prospectus, (ii) any request bythe Commission for any amendment of or supplement to the Registration Statement, the Preliminary Prospectus, the RatingsFree Writing Prospectus or the Prospectus or for any additional information, (iii) any amendment or supplement to theRegistration Statement, the Preliminary Prospectus, the Ratings Free Writing Prospectus or the Prospectus and (iv) theissuance by the Commission of any stop order suspending the eﬀectiveness of the Registration Statement or the institutionor threat of any proceeding for that purpose (it being agreed that the Transferor will use its best eﬀorts to prevent theissuance of any such stop order and to obtain as soon as possible the lifting of any such stop order issued by theCommission).",Governing Law,Amendments,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,107,"(c) If, at any time when a prospectus relating to the Certiﬁcates is required to be delivered under the Act(including delivery as contemplated by Rule 172 under the Act), any event occurs as a result of which the PreliminaryProspectus, the Ratings Free Writing Prospectus or the Prospectus as then amended or supplemented would include anuntrue statement of a material fact or omit to state any material fact necessary to make the statements therein, in the lightof the circumstances under which they were made, not misleading, or if it is necessary at any time to amend or supplementthe Preliminary Prospectus, the Ratings Free Writing Prospectus or the Prospectus to comply with the Act, the Transferorpromptly will advise the Underwriters thereof and will prepare and ﬁle, or cause to be prepared and ﬁled, with theCommission an amendment or supplement which will correct such statement or omission, or an amendment or supplementwhich will eﬀect such compliance.",Notices,Amendments,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,108,Any such ﬁling shall not operate as a waiver or limitation on any right of the Underwritershereunder.,General Provisions,General Provisions,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,109,"(d) As soon as practicable, but not later than December 31 of the year following the year in which the ClosingDate occurs, the Transferor will cause the Trust to make generally available to Certiﬁcateholders an earnings statement ofthe Trust covering a period of at least twelve months beginning after the eﬀective date of the Registration Statement thatwill satisfy the provisions of Section 11(a) of the Act and Rule 158 promulgated thereunder.",Term and Termination,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,110,"(e) The Transferor will furnish to the Underwriters copies of the Registration Statement (one of which will besigned and will include all exhibits), each related preliminary prospectus or prospectus, the Preliminary Prospectus, theRatings Free Writing Prospectus, the Prospectus and all amendments and supplements to such documents, in each case assoon as available and in such quantities as the Underwriters request.",Governing Law,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,111,(f) The Transferor will promptly and from time to time take such action as any Underwriter may reasonablyrequest to qualify the Class A Certiﬁcates for oﬀering and sale under the securities laws of such jurisdictions as suchUnderwriter may request and to comply with such laws so as to permit the continuance of sales and dealings therein in suchjurisdictions for as long as may be necessary to complete the distribution of the Class A Certiﬁcates,Governing Law,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,112,provided that inconnection therewith the Transferor shall not be required to qualify as a foreign corporation or dealer in securities or to ﬁle ageneral consent to service of process in any particular jurisdiction.,Governing Law,Governing Law,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,113,"12 (g) For a period from the date of this Agreement until the retirement of the Certiﬁcates, the Transferor will deliverto you the annual statements of compliance and the annual independent certiﬁed public accountants’ reports furnished tothe Trustee pursuant to the Pooling and Servicing Agreement, as soon as such statements and reports are furnished to theTrustee.",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,114,"(h) So long as any Certiﬁcate is outstanding and upon your request, the Transferor will furnish to the Underwriters(i) as soon as practicable after the end of the ﬁscal year all documents required to be distributed to Certiﬁcateholders or ﬁledwith the Commission pursuant to the Exchange Act or any order of the Commission thereunder and (ii) from time to time,any other information concerning the Transferor or the Trust ﬁled with any government or regulatory authority that isotherwise publicly available.",Assignment,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,115,"(i) To the extent, if any, that the rating provided with respect to the Class A Certiﬁcates by any Rating Agency isconditional upon the furnishing of documents or the taking of any other actions by the Transferor, the Transferor shall use itsbest eﬀorts to furnish such documents and take any such other actions unless (a) the furnishing of such documents or thetaking of any such action is ﬁrst required by such Rating Agency after the Execution Time and (b) doing so would have amaterial adverse eﬀect upon the Transferor.",Assignment,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,116,"(j) Between the date of this Agreement and the Closing Date, the Transferor will not, without the prior writtenconsent of the Representatives, directly or indirectly, issue, sell or oﬀer to sell securities similar to the Certiﬁcates.",Parties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,117,"(k) Each of the Transferor and TRS will comply with each 17g-5 Representation, other than any breach of a 17g-5Representation that would not have a material adverse eﬀect on the Certiﬁcateholders.",Representations and Warranties,Representations and Warranties,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,120,"The Bank covenants and agrees with the several Underwriters as follows: (a) To the extent, if any, that the rating provided with respect to the Class A Certiﬁcates by any Rating Agency isconditional upon the furnishing of documents or the taking of any other actions by the Bank, the Bank shall use its besteﬀorts to furnish such documents and take any such other actions unless (x) the furnishing of such documents or the takingof any such action is ﬁrst required by such Rating Agency after the Execution Time and (y) doing so would have a materialadverse eﬀect upon the Bank.",Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,121,"(b) The Bank, or (to the extent permitted by the Credit Risk Retention Rules) one or more of its wholly-ownedaﬃliates (as deﬁned in the Credit Risk Retention Rules) will continue to comply with all requirements imposed on sponsorsof a securitization transaction by the Credit Risk Retention Rules for so long as those requirements are applicable, includingmaintaining a “seller’s interest” (as deﬁned in the Credit Risk Retention Rules) in the Trust of not less than 5% of theaggregate unpaid principal balance of all outstanding investor “ABS interest” (as deﬁned in the Credit Risk Retention Rules)in the Trust, for the duration required in the Credit Risk Retention Rules, without any impermissible hedging, transfer orﬁnancing of such retained interest.",Parties,Parties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,122,"The Bank will be solely responsible for compliance with the disclosure requirements ofthe Credit Risk Retention Rules, including the contents of all such disclosures, ensuring that the required pre-sale disclosuresare contained in the Preliminary Prospectus, and ensuring that any required post-closing disclosures are provided toinvestors in the Prospectus or otherwise in a timely and an appropriate method that does not require any involvement of theUnderwriters.",Confidentiality,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,125,"Whether or not the transactions contemplated hereunder are consummated, theTransferor will pay all expenses incident to the performance of their obligations under this Agreement, including (i) theprinting of the Preliminary Prospectus, the Ratings Free Writing Prospectus and the Prospectus and of each amendment orsupplement thereto, (ii) the preparation of this Agreement and each Transaction Document, (iii) the preparation, issuanceand delivery of the Class A Certiﬁcates and the Class B Certiﬁcates to the Underwriters and RFC III, respectively, (iv) the feesand disbursements of the counsel to the Transferor and the fees and disbursements of the Transferor’s accountants, (v) thequaliﬁcation of the Certiﬁcates under securities laws in accordance with the provisions of Section 5(f), including ﬁling fees inconnection with the preparation of any blue sky and legal investment survey, (vi) the printing and delivery to theUnderwriters of copies of the Preliminary Prospectus, the Ratings Free Writing Prospectus and the Prospectus and of eachamendment or supplement thereto, (vii) the preparation and ﬁling of the Registration Statement and all amendmentsthereto, (viii) the printing and delivery to the Underwriters of copies of any blue sky or legal investment survey prepared inconnection with the Class A Certiﬁcates and any supplements thereto, (ix) any fees charged by each Rating Agency for therating of the Class A Certiﬁcates, (x) the fees and expenses, if any, incurred with respect to any ﬁling with the NationalAssociation of Securities Dealers, Inc., (xi) the fees and expenses of the Trustee and its counsel and (xii) one-half of the feesand disbursements of counsel to the Underwriters (the other half of such fees and disbursements to be paid for by theUnderwriters).",Payment,Payment,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,127,Conditions of the Obligations of each Underwriter.,General Provisions,General Provisions,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,128,"The obligations of each Underwriter to purchase, andto pay for, the Class A Certiﬁcates will be subject to the accuracy of the representations and warranties of the Transferor andthe Bank set forth herein as of the date hereof and the Closing Date, to the accuracy of the statements of oﬃcers of each ofthe Transferor, TRS and the Bank made pursuant hereto or in connection herewith, to the performance by the Transferor andthe Bank of its obligations hereunder, and to the following additional conditions precedent: (a) The Preliminary Prospectus, the Ratings Free Writing Prospectus, the Prospectus and each supplement theretoshall have been ﬁled (if required) with the Commission in accordance with the Act and the Rules and Regulations andSection 1 hereof, and, as of the Closing Date, no stop order suspending the eﬀectiveness of the Registration Statement shallhave been issued and no proceeding for that purpose shall have been instituted or, to the knowledge of the Transferor or theUnderwriters, shall be contemplated by the Commission or by any authority administering any state securities or “blue sky”laws.",Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,129,"(b) On or prior to the Closing Date, the Underwriters shall have received letters, dated as of the date of thePreliminary Prospectus and as of the date of the Prospectus, of a nationally recognized accounting ﬁrm of certiﬁed publicaccountants, substantially in the forms of the drafts to which the Underwriters have previously agreed and otherwise in formand substance satisfactory to the Underwriters.",General Provisions,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,130,"(c) Subsequent to the execution and delivery of this Agreement, there shall not have occurred (i) any change, orany development involving a prospective change, in or aﬀecting particularly the business or properties of the Trust, theTransferor or the Bank that, in the judgment of the Underwriters (after consultation with the Transferor), materially impairsthe market for or investment quality of the Class A Certiﬁcates or makes it impractical or inadvisable to market the Class ACertiﬁcates",Parties,Assignment,Parties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,131,(ii) any suspension or limitation on trading in securities generally on the New York Stock Exchange,Amendments,General Provisions,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,132,"(iii) anysuspension generally or material limitation of trading of any securities of the Bank, the Transferor or any Aﬃliate of the Bankor the Transferor on any exchange or in the over-the-counter market",Assignment,Assignment,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,133,(iv) any banking moratorium declared by Federal orState of New York or other applicable state authorities,Governing Law,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,134,"or (v) any outbreak or escalation of hostilities or armed conﬂict inwhich the United States is 14 involved, any declaration of war by Congress, or any other substantial national or international calamity or emergency if, inthe reasonable judgment of the Underwriters, the eﬀect of any such outbreak, escalation, declaration, calamity, oremergency would make it impractical or inadvisable to proceed with completion of the sale of and payment for the Class ACertiﬁcates.",Governing Law,Payment,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,135,"(d) At the Closing Date, each of the Transferor and the Bank shall have furnished to the Representativescertiﬁcates of an executive oﬃcer of the Transferor or the Bank, as applicable, as to the accuracy of the representations andwarranties of the Transferor or the Bank, as applicable, herein at and as of the Closing Date, as to the performance by theTransferor or the Bank, as applicable, of all of its obligations hereunder to be performed at or prior to the Closing Date, andas to such other matters as the Representatives may reasonably request.",Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,136,"(e) Counsel for each of the Bank and the Transferor shall have furnished to the Underwriters one or more writtenopinions, addressed to the Underwriters and dated the Closing Date, in form and substance satisfactory to the Underwriters,substantially to the eﬀect that: (i) The Bank has been duly incorporated or formed and is validly existing and in good standing under thelaws of the jurisdiction in which it is organized, with full power and authority (corporate and other) to own its properties andconduct its business, as presently owned and conducted by it, and to enter into and perform its obligations under thisAgreement and the Receivables Purchase Agreement, and has had at all times the power, authority and legal right toacquire, own and transfer the Receivables as contemplated by the Receivables Purchase Agreement",Parties,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,137,"(ii) The Bank (a) is duly qualiﬁed to do business and is in good standing in the jurisdiction in which it isorganized, and under applicable laws, as they are currently interpreted and enforced, has obtained all necessary licensesand approvals in each jurisdiction in which failure to qualify or to obtain such licenses or approvals would materially andadversely aﬀect the enforceability of any Receivable or would adversely aﬀect the ability of the Bank to perform itsobligations under this Agreement or the Receivables Purchase Agreement and (b) without limiting the foregoing, has thecorporate power and authority to carry on its business as described in the Prospectus and own and operate its property inconnection therewith",Governing Law,Governing Law,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,138,"(iii) The Transferor has been duly incorporated or formed and is validly existing and in good standing underthe laws of the jurisdiction in which it is organized, with full power and authority (corporate, limited liability company andother) to own its properties and conduct its business, as presently owned and conducted by it, and to enter into and performits obligations under this Agreement, the Transaction Documents to which it is a party and the Certiﬁcates, and has had at alltimes the power, authority and legal right to acquire, own and transfer the Receivables as contemplated by the TransactionDocuments",Parties,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,139,"(iv) The Transferor (a) is duly qualiﬁed to do business and is in good standing in the jurisdiction in which it isorganized, and under applicable laws, as they are currently interpreted and enforced, has obtained all necessary licensesand approvals in each jurisdiction in which failure to qualify or to obtain such licenses or approvals would materially andadversely aﬀect the enforceability of any Receivable or would adversely aﬀect the ability of the Transferor to perform itsobligations under this Agreement, the Transaction Documents to which it is a party or the Certiﬁcates and (b) without limitingthe foregoing, has the corporate or limited liability company power and authority to carry on its business as described in theProspectus and own and operate its property in connection therewith",Parties,Governing Law,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,140,"15 (v) This Agreement has been duly authorized, executed and delivered by the Transferor and the Bank",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,141,"(vi) The Certiﬁcates have been duly authorized, executed and delivered by the Transferor, and, when dulyauthenticated by the Trustee in accordance with the terms of the Pooling and Servicing Agreement, and delivered to and paidfor by the Underwriters in accordance with the terms of this Agreement (in the case of the Class A Certiﬁcates) or RFC III inaccordance with the terms of the Class B Purchase Agreement (in the case of the Class B Certiﬁcates), will be validly issuedand outstanding and entitled to the beneﬁts provided by the Pooling and Servicing Agreement",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,142,"(vii) Each Transaction Document to which the Transferor is a party has been duly authorized, executed anddelivered by the Transferor and constitutes the legal, valid and binding agreement of the Transferor, enforceable against it inaccordance with its terms, subject, as to enforceability, to (A) applicable bankruptcy, fraudulent conveyance, insolvency,moratorium, receivership, reorganization, liquidation and other similar laws relating to or aﬀecting the rights and remediesof creditors generally, and (B) general principles of equity (regardless of whether enforceability is considered in a proceedingin equity or at law)",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,143,"(viii) The Receivables Purchase Agreement has been duly authorized, executed and delivered by the Bankand constitutes the legal, valid and binding agreement of the Bank, enforceable against it in accordance with its terms,subject, as to enforceability, to (A) applicable bankruptcy, fraudulent conveyance, insolvency, moratorium, receivership,reorganization, liquidation and other similar laws relating to or aﬀecting the rights and remedies of creditors generally, and(B) general principles of equity (regardless of whether enforceability is considered in a proceeding in equity or at law)",Parties,General Provisions,Governing Law
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,145,"(x) To the knowledge of such counsel, no consent, approval, authorization or order of any governmentalagency or body is required for (A) the execution, delivery and performance by the Transferor of its obligations under thisAgreement, any Transaction Document to which it is a party or the Certiﬁcates, or (B) the issuance or sale of the Certiﬁcates,except such as have been obtained under the Act and as may be required under state securities or “blue sky” laws inconnection with the purchase and distribution of the Class A Certiﬁcates by the Underwriters or the Class B Certiﬁcates byRFC III and the ﬁling of Uniform Commercial Code ﬁnancing statements with respect to the Receivables",Parties,Parties,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,146,"(xi) To the knowledge of such counsel, neither the execution and delivery by the Bank of this Agreement orthe Receivables Purchase Agreement nor the performance by the Bank of the transactions therein contemplated nor thefulﬁllment of the terms thereof does or will result in any material violation of any statute or regulation or any order or decreeof any court or governmental authority binding upon the Bank or its property, or conﬂict with, or result in a material breachor violation of any term or provision of, or result in a default under any of the terms and provisions of, its charter or by-laws,or materially conﬂict with, or result in a material breach or violation of any term or provision of, or result in a materialdefault under any of the terms and provisions, of any indenture, loan agreement or other material agreement known to suchcounsel to which the Bank is a party or by which the Bank is bound",Parties,Parties,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,147,"(xii) To the knowledge of such counsel, neither the execution and delivery of this Agreement, the TransactionDocuments or the Certiﬁcates by the Transferor nor the performance by the Transferor of the transactions thereincontemplated nor the fulﬁllment of the terms thereof does or 16 will result in any material violation of any statute or regulation or any order or decree of any court or governmental authoritybinding upon the Transferor or its property, or conﬂict with, or result in a material breach or violation of any term or provisionof, or result in a default under any of the terms and provisions of, its charter or by-laws, or materially conﬂict with, or resultin a material breach or violation of any term or provision of, or result in a material default under any of the terms andprovisions, of any indenture, loan agreement or other material agreement known to such counsel to which the Transferor is aparty or by which the Transferor is bound",Parties,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,148,"(xiii) Except as disclosed in the Registration Statement, the Preliminary Prospectus or the Prospectus, to theknowledge of such counsel after due investigation, there are no legal or governmental proceedings pending to which theBank is a party or to which any property of the Bank is subject that, individually or in the aggregate, (i) would have amaterial adverse eﬀect on the ability of the Bank to perform its obligations under this Agreement or the ReceivablesPurchase Agreement or (ii) assert the invalidity of this Agreement or the Receivables Purchase Agreement",Parties,Parties,Severability
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,149,"(xiv) Except as disclosed in the Registration Statement, the Preliminary Prospectus or the Prospectus, to theknowledge of such counsel after due investigation, there are no legal or governmental proceedings pending to which theTransferor is a party or to which any property of the Transferor is subject that, individually or in the aggregate, (i) would havea material adverse eﬀect on the ability of the Transferor to perform its obligations under this Agreement, any TransactionDocument or the Certiﬁcates, (ii) assert the invalidity of this Agreement, any Transaction Document or the Certiﬁcates,(iii) seek to prevent the issuance, sale or delivery of the Certiﬁcates or the transactions contemplated by this Agreement orany Transaction Document or (iv) seek to aﬀect adversely the federal income tax or ERISA attributes of the Certiﬁcatesdescribed in the Preliminary Prospectus or Prospectus",Parties,Assignment,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,150,"(xv) The Registration Statement, the Preliminary Prospectus, the Ratings Free Writing Prospectus and theProspectus (except for the ﬁnancial statements, ﬁnancial schedules and other ﬁnancial and operating data including therein,as to which such counsel expresses no view) comply as to form in all material respects with the requirements of the Act andthe Rules and Regulations",Governing Law,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,151,"(xvi) The Registration Statement is eﬀective under the Act, and the Preliminary Prospectus, the Ratings FreeWriting Prospectus and the Prospectus have been ﬁled with the Commission pursuant to Rule 424(h), Rule 424(b) or Rule 433,as applicable, thereunder",Governing Law,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,152,"(xvii) Such counsel has not independently veriﬁed the accuracy, completeness or fairness of the informationcontained in the Registration Statement, the Preliminary Prospectus, the Ratings Free Writing Prospectus and the Prospectus.However, based upon discussion with the Transferor and the Bank, their accountants and others, no facts have come to theattention of such counsel that cause it to believe that the Registration Statement, as of the Eﬀective Date (except for theﬁnancial statements, ﬁnancial schedules and other ﬁnancial and statistical data included therein as to which such counselexpresses no view), contains any untrue statement of a material fact or omits to state a material fact required to be statedtherein or necessary in order to make the statements therein not misleading, or that the Preliminary Prospectus, togetherwith the Ratings Free Writing Prospectus, as of its date and as of the Time of Sale, contained any untrue statement of amaterial fact or omitted to state a material fact necessary in order to make the statements therein, in light of thecircumstances under which they were made, not misleading, or that the Prospectus (as amended on or prior to the ClosingDate), together with the Ratings Free Writing Prospectus, as of the date of the Prospectus and at the Closing Date containedor contains any untrue statement of a material fact or omitted or omits to state a material fact necessary in order to makethe statements therein, in the light of the circumstances under which they were made, not misleading (it being understoodthat such counsel expresses no view as to the ﬁnancial statements, ﬁnancial schedules, and other ﬁnancial and statisticaldata included in the Preliminary 17 Prospectus or the Prospectus or, in the case of the Preliminary Prospectus, the omission of pricing and price-dependentinformation, which information shall of necessity appear only in the Prospectus).",Governing Law,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,153,References to the Preliminary Prospectus orthe Prospectus in this paragraph include any amendments or supplements thereto.,Amendments,Amendments,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,154,"(f) Xxxxxx, Xxxxxxxxxx & Xxxxxxxxx LLP, Xxxxxxx Xxxxx & Xxxxxxx, and Xxxxxxxx, Xxxxxx & Finger, P.A.,special UCC counsel for the Transferor, shall have furnished to the Underwriters written opinions, addressed to theUnderwriters and dated the Closing Date, in form and substance satisfactory to the Underwriters, with respect to certainmatters relating to the (i) transfer of the Receivables to the Transferor with respect to the perfection of the Transferors’interest in the Receivables and with respect to other related matters and (ii) the transfer of the Receivables to the Trust, withrespect to the perfection of the Trust’s interest in the Receivables and with respect to other related matters.",Notices,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,155,"(g) Xxxxxx, Xxxxxxxxxx & Xxxxxxxxx LLP, special tax counsel for the Transferor, shall have furnished to theUnderwriters a written opinion, addressed to the Underwriters and dated the Closing Date, in form and substancesatisfactory to the Underwriters, to the eﬀect that the Class A Certiﬁcates will be treated as indebtedness and the Trust willnot be an association or publicly traded partnership taxable as a corporation for federal income tax purposes.",Payment,Notices,Assignment
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,156,"(h) The Underwriters shall have received from Xxxxxx, Xxxxxxxxxx & Xxxxxxxxx LLP, counsel to theUnderwriters, a written opinion, dated the Closing Date, with respect to such matters as the Representatives may require(and each of the Transferor and the Bank shall furnish to such counsel all documents requested for the purpose of enabling itto pass upon such matters).",Representations and Warranties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,157,"(i) McGuireWoods LLP, counsel to the Trustee, shall have furnished to the Underwriters a written opinion,addressed to the Underwriters and dated the Closing Date, in form and substance satisfactory to the Underwriters,substantially to the eﬀect that: (i) The Trustee is a banking corporation, duly organized and validly existing under the laws of the State ofNew York.",Governing Law,Notices,Representations and Warranties
